created_at,favorites,location,retweets,source,text,user
30-05-2017,0,"Raipur, India",0,Twitter for Android,@_sachinbansal @binnybansal @Flipkart The Biggest #Mantra of #Flipkart #Customers #support is Countinues #ignore &amp;… https://t.co/iLziWBVNs3,saismriti
30-05-2017,0,India,0,Facebook,Just earned Rs.100 #flipkart #voucher from #onlinesurvey... https://t.co/odW8wc3hgL,onlinehomein
30-05-2017,0,India,0,Facebook,#Flipkart Min 50% OFF on Everything + 10% Cashback via Citi Cards + 25% Cashback via Phonepe https://t.co/qaRUAUdd6h,OffersXpIndia
30-05-2017,0,,0,Twitter Web Client,"Summer Shopping Days on #Flipkart - Live Now- Unbelievable deals, offers, discounts additional Bank and wallet Offe… https://t.co/qv919M6byZ",BestOffersIndia
30-05-2017,0,"Hyderabad, India",0,Deal 70,Best #deal from #Flipkart MRP: Rs 999.0 Discount: 55.0% Off Buy Price: Rs 449.0 #buy #online #Hyderabad #India https://t.co/bFh9YcNngk,dealseventy
30-05-2017,0,,0,fliptrak-node,#deals #Skullcandy Jib S2DUHZ-335 Stereo Headphone Wired Headphones is selling cheaper at INR 589 today https://t.co/d73VsiC28U #flipkart,pricetrak
30-05-2017,0,,0,fliptrak-node,#deals #Eveready 14 W LED Cool Day Light Bulb is selling cheaper at INR 269 today https://t.co/fngKOl4zzD #flipkart,pricetrak
30-05-2017,0,Planet Earth (for now),0,Twitter Web Client,"#Snapdeal receives Rs113 crore from Nexus, founders in surprise funding https://t.co/HYJDFIweXh 
Nice Move 
#flipkart will have less control",imshikhararora
30-05-2017,0,"Kolkata, West Bengal",0,Kolkata 24x7,"ফ্লিপকার্টে বিশেষ সামার সেলে মিলছে ...
https://t.co/BDJwaHuBbI
#Discount #Flipkart #SummerSale #Kolkata24x7… https://t.co/u8vRhCXtQo",kolkata24x7
30-05-2017,0,Anandnagar,0,Twitter for Android,@jagograhakjago  #Flipkart cheating me give me old mobile https://t.co/t7yyjQbaVF,WapLata
